Табельный номер,Фамилия И. О.,Пол,Год рождения,Начало работы (год),Подразделение,Должность,Оклад,Количество выполненных проектов
895,Л. М. Тараборина,Ж,1962,1982,Системы автоматизированного управления наземной техникой,Инженер-исследователь,34423,19
896,А. И. Долбилина,Ж,1972,1992,Аэрометрические системы воздушных сигналов,Инженер-исследователь,24494,5
897,М. К. Ломоносова,Ж,1996,2016,Радиоэлектронная аппаратура,Инженер,39918,18
898,С. Е. Тютчева,Ж,1973,1993,Аэрометрические системы воздушных сигналов,Начальник ТКБ,57776,15
899,М. Б. Кузищина,Ж,1977,1997,Отдел кадров,Начальник отдела,20166,20
900,М. И. Сукнова,Ж,1961,1981,Отдел охраны труда,Инженер-программист,44704,7
901,А. О. Васицина,Ж,1973,1993,Отдел кадров,Инженер-программист,41661,19
902,М. В. Изгорышева,Ж,1983,2003,Информационно-управляющие системы для самолетов,Инженер,38752,7
903,С. Ф. Ротанина,Ж,1998,2018,Отдел кадров,Инженер-исследователь,40621,7
904,Е. В. Закиркова,Ж,1977,1997,Отдел кадров,Начальник отдела,48392,7
905,И. А. Заворина,Ж,1970,1990,Отдел охраны труда,Начальник ТКБ,52984,3
906,И. А. Мажимова,Ж,1971,1991,Отдел охраны труда,Техник,56667,6
907,А. А. Адельшина,Ж,1975,1995,Отдел кадров,Экономист,58697,20
908,А. Н. Жимайлова,Ж,1971,1991,Аэрометрические системы воздушных сигналов,Инженер,55719,13
909,М. К. Никищихина,Ж,1996,2016,Аэрометрические системы воздушных сигналов,Техник,45145,20
910,С. Д. Файзуллина,Ж,1978,1998,Информационно-управляющие системы для вертолетов,Инженер-программист,25547,13
911,С. Р. Феоктисова,Ж,1998,2018,Отдел кадров,Бухгалтер,21980,18
912,В. М. Безенкина,Ж,2001,2021,Информационно-управляющие системы для вертолетов,Начальник ТКБ,48195,6
913,С. Э. Залипская,Ж,1995,2015,Радиоэлектронная аппаратура,Инженер,47181,10
914,В. В. Зукова,Ж,1998,2018,Радиоэлектронная аппаратура,Инженер-исследователь,21752,4
915,Н. Н. Бахчалова,Ж,1970,1990,Радиоэлектронная аппаратура,Начальник ТКБ,21341,20
916,К. П. Шлепкова,Ж,1962,1982,Отдел кадров,Техник,51765,19
917,В. О. Гасова,Ж,1970,1990,Системы автоматизированного управления наземной техникой,Техник,48473,18
918,Л. Ф. Буршина,Ж,1963,1983,Системы автоматизированного управления наземной техникой,Экономист,40509,7
919,К. Б. Шканчикова,Ж,1964,1984,Информационно-управляющие системы для самолетов,Начальник ТКБ,41451,17
920,К. В. Валиулина,Ж,1972,1992,Информационно-управляющие системы для вертолетов,Инженер-исследователь,48570,16
921,В. В. Юмагужина,Ж,1996,2016,Отдел охраны труда,Начальник ТКБ,51859,7
922,А. Б. Каурхина,Ж,1967,1987,Радиоэлектронная аппаратура,Техник,35120,9
923,К. Р. Бывших,Ж,1980,2000,Информационно-управляющие системы для вертолетов,Бухгалтер,50647,17
924,В. В. Баличкина,Ж,1995,2015,Проектирование и верификация программно-математического обеспечения,Инженер,41153,1
925,Т. И. Холодилина,Ж,1990,2010,Информационно-управляющие системы для вертолетов,Техник,41692,9
926,Е. М. Бурякова,Ж,1983,2003,Отдел охраны труда,Бухгалтер,51931,5
927,М. Р. Щелокова,Ж,1971,1991,Системы автоматизированного управления наземной техникой,Начальник отдела,52082,12
928,К. Е. Якунцева,Ж,1983,2003,Проектирование и верификация программно-математического обеспечения,Бухгалтер,42366,15
929,Н. И. Рокачева,Ж,1965,1985,Проектирование и верификация программно-математического обеспечения,Начальник ТКБ,37920,15
930,К. А. Отрохова,Ж,1971,1991,Радиоэлектронная аппаратура,Инженер-исследователь,35375,1
931,А. И. Дзугутова,Ж,1969,1989,Проектирование и верификация программно-математического обеспечения,Начальник ТКБ,22089,19
932,О. Д. Хромышева,Ж,1989,2009,Радиоэлектронная аппаратура,Начальник ТКБ,56803,9
933,Е. М. Закочурина,Ж,1987,2007,Радиоэлектронная аппаратура,Инженер-программист,55078,15
934,Н. Н. Уточкина,Ж,1964,1984,Отдел кадров,Инженер,24160,1
935,З. А. Лагуткина,Ж,1995,2015,Системы автоматизированного управления наземной техникой,Инженер-исследователь,43480,17
936,А. Н. Забицкая,Ж,1966,1986,Системы автоматизированного управления наземной техникой,Бухгалтер,45270,6
937,К. О. Армашева,Ж,1983,2003,Информационно-управляющие системы для самолетов,Инженер,45099,3
938,А. В. Балтачева,Ж,1996,2016,Информационно-управляющие системы для вертолетов,Инженер,34420,3
939,Е. П. Талдынина,Ж,2001,2021,Отдел охраны труда,Инженер-исследователь,49065,19
940,Е. Л. Горбанская,Ж,1967,1987,Информационно-управляющие системы для вертолетов,Экономист,25292,2
941,Ж. Н. Гуменнова,Ж,1984,2004,Системы автоматизированного управления наземной техникой,Техник,25926,16
942,Л. П. Гомелина,Ж,1972,1992,Информационно-управляющие системы для самолетов,Техник,42778,8
943,О. М. Бинюкова,Ж,1971,1991,Радиоэлектронная аппаратура,Бухгалтер,31376,3
944,И. В. Ужовская,Ж,1967,1987,Информационно-управляющие системы для самолетов,Инженер,22775,19
945,К. О. Стаброва,Ж,1966,1986,Отдел кадров,Инженер-исследователь,51186,12
946,В. А. Сасонская,Ж,1961,1981,Отдел охраны труда,Начальник ТКБ,55423,6
947,В. С. Ананькина,Ж,1969,1989,Проектирование и верификация программно-математического обеспечения,Начальник отдела,30579,7
948,Е. Э. Чибинцева,Ж,1975,1995,Аэрометрические системы воздушных сигналов,Начальник ТКБ,29980,5
949,Д. М. Локонова,Ж,1979,1999,Радиоэлектронная аппаратура,Начальник отдела,46616,8
950,К. И. Швеченкова,Ж,1961,1981,Системы автоматизированного управления наземной техникой,Бухгалтер,23867,14
951,Е. Р. Надерова,Ж,1998,2018,Системы автоматизированного управления наземной техникой,Инженер-исследователь,59914,15
952,С. В. Сугутская,Ж,1998,2018,Проектирование и верификация программно-математического обеспечения,Техник,52714,4
953,В. В. Рожанкова,Ж,1970,1990,Отдел кадров,Начальник отдела,29713,4
954,Е. М. Доброумова,Ж,1978,1998,Отдел кадров,Инженер-программист,44964,8
955,Е. Р. Рурукина,Ж,1967,1987,Радиоэлектронная аппаратура,Экономист,42750,20
956,И. Е. Хамедулина,Ж,1985,2005,Проектирование и верификация программно-математического обеспечения,Инженер-исследователь,25839,14
957,Р. А. Перенечина,Ж,1990,2010,Радиоэлектронная аппаратура,Экономист,25977,17
958,О. И. Горчилина,Ж,1971,1991,Отдел кадров,Экономист,28979,11
959,Д. И. Чиненкова,Ж,1992,2012,Радиоэлектронная аппаратура,Бухгалтер,24099,3
960,К. П. Меленина,Ж,1978,1998,Проектирование и верификация программно-математического обеспечения,Бухгалтер,58252,11
961,В. О. Кулишнина,Ж,1993,2013,Информационно-управляющие системы для вертолетов,Начальник ТКБ,48465,6
962,З. В. Казикина,Ж,1986,2006,Отдел охраны труда,Начальник отдела,41571,11
963,А. Р. Доброва,Ж,1992,2012,Отдел охраны труда,Инженер-исследователь,33565,1
964,В. Р. Ахмедова,Ж,1961,1981,Радиоэлектронная аппаратура,Инженер,59377,9
965,К. Н. Парфеонова,Ж,1978,1998,Отдел охраны труда,Инженер-программист,58839,18
966,А. Я. Пилюгова,Ж,1994,2014,Системы автоматизированного управления наземной техникой,Бухгалтер,28416,6
967,А. Е. Кантовская,Ж,1965,1985,Аэрометрические системы воздушных сигналов,Инженер-программист,54920,5
968,К. О. Верещакова,Ж,1996,2016,Радиоэлектронная аппаратура,Инженер-исследователь,59073,5
969,Л. Е. Дзебоева,Ж,1980,2000,Радиоэлектронная аппаратура,Инженер-программист,55838,13
970,В. В. Принева,Ж,1987,2007,Радиоэлектронная аппаратура,Экономист,52667,8
971,К. П. Щипунова,Ж,1969,1989,Информационно-управляющие системы для вертолетов,Инженер-исследователь,57402,7
972,К. А. Никатова,Ж,1976,1996,Отдел кадров,Инженер-программист,53738,1
973,А. И. Родзина,Ж,1998,2018,Отдел кадров,Инженер-программист,56937,8
974,К. Д. Орженцева,Ж,1961,1981,Системы автоматизированного управления наземной техникой,Инженер,43183,1
975,А. Э. Лаберсина,Ж,1982,2002,Отдел охраны труда,Экономист,54574,12
976,В. М. Дунечкина,Ж,1964,1984,Информационно-управляющие системы для вертолетов,Техник,31092,5
977,Н. Л. Пышнова,Ж,1975,1995,Отдел охраны труда,Начальник отдела,30850,1
978,А. М. Белогярова,Ж,1963,1983,Системы автоматизированного управления наземной техникой,Начальник ТКБ,39003,14
979,Ж. А. Караюшева,Ж,1966,1986,Информационно-управляющие системы для самолетов,Начальник отдела,50268,8
980,Я. Б. Дарюхина,Ж,2001,2021,Информационно-управляющие системы для самолетов,Экономист,43697,20
981,П. М. Аллилулова,Ж,1985,2005,Отдел охраны труда,Экономист,36674,7
982,К. И. Исобаева,Ж,1998,2018,Информационно-управляющие системы для вертолетов,Инженер-исследователь,53831,12
983,Л. Р. Таболова,Ж,1974,1994,Отдел кадров,Инженер-исследователь,47079,9
984,К. А. Чаплина,Ж,1991,2011,Аэрометрические системы воздушных сигналов,Бухгалтер,21229,18
985,П. С. Видрина,Ж,1992,2012,Информационно-управляющие системы для вертолетов,Техник,39391,15
986,К. О. Шубцова,Ж,1990,2010,Проектирование и верификация программно-математического обеспечения,Инженер-исследователь,39941,5
987,В. К. Искакбаева,Ж,1993,2013,Информационно-управляющие системы для вертолетов,Инженер-программист,47245,3
988,П. Ф. Арнаутова,Ж,1990,2010,Аэрометрические системы воздушных сигналов,Инженер,24169,12
989,Р. Б. Микеенкова,Ж,1989,2009,Информационно-управляющие системы для вертолетов,Бухгалтер,47343,7
990,К. В. Булепкина,Ж,1969,1989,Проектирование и верификация программно-математического обеспечения,Начальник ТКБ,49585,14
991,Н. Л. Дриненкова,Ж,1976,1996,Отдел охраны труда,Бухгалтер,29179,17
992,Л. А. Индакова,Ж,1999,2019,Радиоэлектронная аппаратура,Инженер-программист,39990,19
993,А. М. Розяева,Ж,1996,2016,Аэрометрические системы воздушных сигналов,Инженер,37834,2
994,В. М. Буйских,Ж,1990,2010,Отдел кадров,Начальник ТКБ,21430,9
995,К. М. Гричина,Ж,1975,1995,Системы автоматизированного управления наземной техникой,Инженер-исследователь,55747,14
996,М. Б. Асина,Ж,1997,2017,Радиоэлектронная аппаратура,Инженер,40800,19
997,А. Э. Москоглова,Ж,1984,2004,Отдел кадров,Экономист,31829,14
998,В. В. Можанова,Ж,1989,2009,Отдел кадров,Инженер-программист,48036,19
999,О. Э. Бальных,Ж,1968,1988,Отдел охраны труда,Бухгалтер,45586,2
1000,М. Ф. Хопенева,Ж,1996,2016,Информационно-управляющие системы для вертолетов,Техник,22577,9
1001,Е. Е. Пугонина,Ж,1975,1995,Радиоэлектронная аппаратура,Бухгалтер,32971,3
1002,П. Ф. Дуранова,Ж,1975,1995,Отдел охраны труда,Инженер-программист,28252,13
1003,К. Я. Шамрина,Ж,1983,2003,Информационно-управляющие системы для самолетов,Инженер-программист,53835,8
1004,Ю. П. Гормузева,Ж,1978,1998,Системы автоматизированного управления наземной техникой,Экономист,57530,2
1005,В. М. Юмадилова,Ж,1987,2007,Проектирование и верификация программно-математического обеспечения,Начальник отдела,31852,4
1006,К. В. Шклова,Ж,1980,2000,Информационно-управляющие системы для вертолетов,Бухгалтер,51493,17
1007,Л. А. Корбкина,Ж,1972,1992,Аэрометрические системы воздушных сигналов,Инженер,36523,3
1008,С. А. Зафирова,Ж,1972,1992,Радиоэлектронная аппаратура,Начальник отдела,56692,5
1009,П. Е. Лялинская,Ж,1986,2006,Информационно-управляющие системы для самолетов,Инженер,31159,2
1010,З. М. Гюбиева,Ж,1998,2018,Отдел охраны труда,Начальник отдела,48573,17
1011,О. И. Кикинева,Ж,1981,2001,Проектирование и верификация программно-математического обеспечения,Начальник отдела,57387,19
1012,А. А. Астреина,Ж,1967,1987,Отдел кадров,Техник,32572,11
1013,А. А. Кабсова,Ж,1996,2016,Отдел кадров,Бухгалтер,32948,17
1014,Д. К. Шатанина,Ж,1965,1985,Проектирование и верификация программно-математического обеспечения,Инженер-программист,38796,4
1015,Г. М. Мазиева,Ж,1975,1995,Отдел кадров,Экономист,57579,11
1016,В. А. Севодняева,Ж,1981,2001,Радиоэлектронная аппаратура,Инженер,32065,6
1017,А. Р. Жаравина,Ж,1987,2007,Отдел охраны труда,Начальник отдела,28091,7
1018,К. М. Булипова,Ж,1965,1985,Аэрометрические системы воздушных сигналов,Инженер-программист,50221,9
1019,А. Л. Бисовицкая,Ж,1989,2009,Радиоэлектронная аппаратура,Начальник отдела,32438,3
1020,К. Д. Алтамонова,Ж,1964,1984,Системы автоматизированного управления наземной техникой,Инженер-программист,23253,8
1021,Е. О. Чемакова,Ж,2000,2020,Информационно-управляющие системы для вертолетов,Техник,50270,12
1022,Ж. Б. Мурсалиева,Ж,1987,2007,Проектирование и верификация программно-математического обеспечения,Бухгалтер,58091,17
1023,В. В. Ширева,Ж,1996,2016,Информационно-управляющие системы для самолетов,Начальник ТКБ,40208,4
1024,Ю. Я. Бохина,Ж,1965,1985,Системы автоматизированного управления наземной техникой,Инженер,53656,19
1025,В. О. Бурдюкова,Ж,1995,2015,Проектирование и верификация программно-математического обеспечения,Начальник ТКБ,49877,5
1026,Ж. Б. Томзина,Ж,1970,1990,Информационно-управляющие системы для самолетов,Начальник ТКБ,34546,15
1027,Ю. К. Галчикова,Ж,1968,1988,Информационно-управляющие системы для вертолетов,Экономист,52884,10
1028,М. М. Пашвыкина,Ж,1997,2017,Информационно-управляющие системы для вертолетов,Техник,53447,15
1029,Р. О. Таканова,Ж,1989,2009,Информационно-управляющие системы для вертолетов,Инженер-исследователь,54467,4
1030,Л. Б. Жеребилова,Ж,1994,2014,Системы автоматизированного управления наземной техникой,Начальник ТКБ,36049,18
1031,К. В. Контыцкая,Ж,1999,2019,Отдел охраны труда,Инженер-программист,40521,19
1032,М. Б. Аршемова,Ж,1973,1993,Отдел кадров,Инженер-исследователь,29302,12
1033,Н. М. Бруновская,Ж,1968,1988,Системы автоматизированного управления наземной техникой,Инженер-программист,58333,19
1034,В. К. Деглина,Ж,1980,2000,Аэрометрические системы воздушных сигналов,Бухгалтер,50970,13
1035,Т. В. Димбиева,Ж,1970,1990,Проектирование и верификация программно-математического обеспечения,Начальник ТКБ,39780,2
1036,С. Я. Тюменкова,Ж,1997,2017,Аэрометрические системы воздушных сигналов,Техник,48776,13
1037,В. Л. Дерибина,Ж,1991,2011,Проектирование и верификация программно-математического обеспечения,Начальник отдела,58072,19
1038,Т. Е. Людвинова,Ж,1973,1993,Проектирование и верификация программно-математического обеспечения,Инженер,25670,20
1039,Р. Э. Чукреева,Ж,1983,2003,Отдел кадров,Экономист,40906,11
1040,В. В. Чекваскина,Ж,1982,2002,Отдел кадров,Инженер-программист,54953,12
1041,Т. Б. Кислицына,Ж,1965,1985,Радиоэлектронная аппаратура,Техник,49563,2
1042,А. Ф. Корявцева,Ж,1980,2000,Проектирование и верификация программно-математического обеспечения,Экономист,44087,20
1043,В. Д. Славутская,Ж,1989,2009,Отдел кадров,Инженер-программист,54300,6
1044,Л. Н. Сурнакина,Ж,1972,1992,Отдел кадров,Начальник отдела,34531,20
1045,С. Б. Репяхова,Ж,1981,2001,Информационно-управляющие системы для вертолетов,Бухгалтер,52665,14
1046,Л. Д. Нищенкова,Ж,1981,2001,Аэрометрические системы воздушных сигналов,Начальник ТКБ,32678,3
1047,К. В. Гарновская,Ж,1999,2019,Аэрометрические системы воздушных сигналов,Инженер,57498,9
1048,В. Б. Поматаева,Ж,1961,1981,Информационно-управляющие системы для вертолетов,Бухгалтер,29413,12
1049,А. А. Трухнина,Ж,1982,2002,Аэрометрические системы воздушных сигналов,Начальник ТКБ,23820,5
1050,Т. В. Кайева,Ж,1971,1991,Проектирование и верификация программно-математического обеспечения,Начальник отдела,26259,17
1051,К. М. Лохмаева,Ж,2001,2021,Информационно-управляющие системы для самолетов,Экономист,49553,18
1052,А. В. Быскова,Ж,1999,2019,Информационно-управляющие системы для самолетов,Инженер,44847,5
1053,Т. Б. Зальеднева,Ж,1971,1991,Информационно-управляющие системы для самолетов,Инженер-исследователь,43118,16
1054,П. И. Глобова,Ж,1976,1996,Информационно-управляющие системы для самолетов,Начальник отдела,58163,12
1055,В. Д. Лищанова,Ж,1989,2009,Системы автоматизированного управления наземной техникой,Инженер-исследователь,23165,10
1056,К. Н. Илиева,Ж,1997,2017,Информационно-управляющие системы для вертолетов,Начальник отдела,59036,4
1057,Ж. Э. Никушева,Ж,1994,2014,Системы автоматизированного управления наземной техникой,Техник,26414,10
1058,А. Р. Алырева,Ж,1986,2006,Радиоэлектронная аппаратура,Начальник ТКБ,52649,1
1059,К. Е. Клеветова,Ж,1989,2009,Проектирование и верификация программно-математического обеспечения,Начальник отдела,30344,5
1060,С. О. Салахова,Ж,1990,2010,Радиоэлектронная аппаратура,Бухгалтер,50987,19
1061,М. В. Гутанова,Ж,1983,2003,Информационно-управляющие системы для вертолетов,Инженер-программист,49085,10
1062,Т. А. Апакина,Ж,1998,2018,Аэрометрические системы воздушных сигналов,Инженер-исследователь,58918,17
1063,К. Б. Шкурникова,Ж,1994,2014,Отдел охраны труда,Экономист,20339,2
1064,К. Н. Буканаева,Ж,1991,2011,Отдел кадров,Бухгалтер,41989,2
1065,А. В. Шдамкова,Ж,1992,2012,Аэрометрические системы воздушных сигналов,Инженер-исследователь,35311,19
1066,О. М. Безенкова,Ж,1993,2013,Информационно-управляющие системы для вертолетов,Инженер-программист,57626,20
1067,Л. В. Гердымова,Ж,1961,1981,Информационно-управляющие системы для вертолетов,Инженер,27091,19
1068,Е. Л. Баланцева,Ж,1990,2010,Информационно-управляющие системы для вертолетов,Инженер-исследователь,53233,13
1069,В. А. Поспешина,Ж,1968,1988,Аэрометрические системы воздушных сигналов,Бухгалтер,40613,3
1070,Ю. Ф. Личагина,Ж,1999,2019,Радиоэлектронная аппаратура,Инженер-исследователь,23470,14
1071,Л. Р. Занозина,Ж,1969,1989,Радиоэлектронная аппаратура,Бухгалтер,46573,19
1072,В. В. Федонова,Ж,1982,2002,Радиоэлектронная аппаратура,Начальник ТКБ,50612,5
1073,В. В. Бахреева,Ж,1993,2013,Отдел охраны труда,Начальник отдела,21973,7
1074,В. А. Россейкина,Ж,1983,2003,Отдел охраны труда,Экономист,57380,17
1075,А. О. Пиндулина,Ж,1962,1982,Информационно-управляющие системы для вертолетов,Экономист,23967,5
1076,Ю. Б. Кузоватова,Ж,1996,2016,Информационно-управляющие системы для самолетов,Начальник ТКБ,47707,19
1077,Е. И. Пекишева,Ж,1997,2017,Аэрометрические системы воздушных сигналов,Инженер,53042,12
1078,К. В. Слепышкова,Ж,1970,1990,Отдел охраны труда,Экономист,45785,14
1079,О. М. Серяпина,Ж,1966,1986,Радиоэлектронная аппаратура,Техник,42937,19
1080,К. В. Артюшикина,Ж,1969,1989,Проектирование и верификация программно-математического обеспечения,Инженер-программист,53980,4
1081,В. В. Элпидина,Ж,1998,2018,Системы автоматизированного управления наземной техникой,Техник,58918,11
1082,С. А. Рыжевская,Ж,1971,1991,Системы автоматизированного управления наземной техникой,Инженер,58951,15
1083,А. Я. Масгутова,Ж,1978,1998,Отдел охраны труда,Начальник ТКБ,35864,10
1084,И. Е. Силицкая,Ж,1972,1992,Отдел охраны труда,Инженер-программист,26391,7
1085,С. Ф. Пальцина,Ж,1996,2016,Информационно-управляющие системы для вертолетов,Бухгалтер,20917,10
1086,В. В. Юшадыкина,Ж,1978,1998,Аэрометрические системы воздушных сигналов,Инженер-программист,34677,10
1087,К. Н. Колдовская,Ж,1988,2008,Отдел кадров,Техник,20310,11
1088,Л. Э. Серьнзнова,Ж,1982,2002,Системы автоматизированного управления наземной техникой,Инженер-исследователь,37271,13
1089,А. Ф. Тютьмина,Ж,1980,2000,Отдел охраны труда,Техник,53349,17
1090,Е. Л. Бычева,Ж,1986,2006,Системы автоматизированного управления наземной техникой,Экономист,24594,19
1091,Л. Н. Бурьянова,Ж,1990,2010,Проектирование и верификация программно-математического обеспечения,Техник,57495,1
1092,А. Э. Шумилкова,Ж,2001,2021,Информационно-управляющие системы для самолетов,Экономист,50588,12
1093,Ж. В. Сухорокова,Ж,1991,2011,Системы автоматизированного управления наземной техникой,Бухгалтер,56210,18
1094,К. Б. Тущина,Ж,1979,1999,Отдел кадров,Начальник ТКБ,42379,8
1095,А. В. Петенкова,Ж,1965,1985,Отдел охраны труда,Начальник ТКБ,41895,7
1096,Л. Б. Чапковская,Ж,1995,2015,Отдел охраны труда,Бухгалтер,27224,14
1097,Е. Д. Брусницкая,Ж,1971,1991,Аэрометрические системы воздушных сигналов,Инженер,38450,15
1098,Л. И. Романцева,Ж,1974,1994,Информационно-управляющие системы для самолетов,Начальник ТКБ,35804,6
1099,Л. В. Гатикоева,Ж,1966,1986,Отдел охраны труда,Инженер-исследователь,42142,14
1100,А. Л. Усянова,Ж,1964,1984,Информационно-управляющие системы для вертолетов,Бухгалтер,39726,19
1101,В. Э. Болозина,Ж,1971,1991,Радиоэлектронная аппаратура,Начальник ТКБ,44452,10
1102,О. Р. Толстецкая,Ж,1999,2019,Системы автоматизированного управления наземной техникой,Начальник отдела,26253,15
1103,О. В. Магихина,Ж,1961,1981,Отдел кадров,Начальник отдела,40430,5
1104,Н. А. Сомошкина,Ж,1986,2006,Системы автоматизированного управления наземной техникой,Инженер-исследователь,59883,11
1105,А. О. Бокина,Ж,1984,2004,Радиоэлектронная аппаратура,Инженер,24114,7
1106,Е. Б. Яндулова,Ж,1981,2001,Системы автоматизированного управления наземной техникой,Техник,41792,6
1107,Д. И. Шивахина,Ж,2000,2020,Информационно-управляющие системы для вертолетов,Инженер,20962,16
1108,С. Э. Свитенкина,Ж,1992,2012,Отдел кадров,Инженер-исследователь,55981,14
1109,Н. А. Ценаева,Ж,1961,1981,Радиоэлектронная аппаратура,Бухгалтер,58870,9
1110,Е. А. Потомина,Ж,1985,2005,Системы автоматизированного управления наземной техникой,Начальник ТКБ,55396,9
1111,Д. Б. Азарушкина,Ж,1980,2000,Информационно-управляющие системы для вертолетов,Техник,38982,11
1112,В. Л. Ширковцева,Ж,1993,2013,Информационно-управляющие системы для вертолетов,Экономист,54794,13
1113,К. Н. Понталова,Ж,1965,1985,Отдел охраны труда,Начальник ТКБ,32037,20
1114,Н. Я. Некошнова,Ж,1998,2018,Отдел кадров,Техник,29125,12
1115,Ю. О. Боршенкова,Ж,1991,2011,Аэрометрические системы воздушных сигналов,Бухгалтер,51780,19
1116,С. В. Юнкова,Ж,1969,1989,Отдел кадров,Начальник ТКБ,46186,19
1117,Р. М. Адолева,Ж,1967,1987,Информационно-управляющие системы для самолетов,Инженер-исследователь,23128,7
1118,Д. С. Рыжевцева,Ж,1989,2009,Отдел кадров,Экономист,24861,15
1119,К. Р. Носонова,Ж,1993,2013,Радиоэлектронная аппаратура,Техник,59445,20
1120,Е. Е. Букасова,Ж,1994,2014,Системы автоматизированного управления наземной техникой,Начальник отдела,31004,17
1121,Г. С. Генькенева,Ж,1972,1992,Проектирование и верификация программно-математического обеспечения,Начальник отдела,47880,2
1122,В. М. Залысина,Ж,1992,2012,Системы автоматизированного управления наземной техникой,Техник,57292,8
1123,К. В. Ялынычева,Ж,1976,1996,Отдел охраны труда,Начальник ТКБ,34310,4
1124,Н. Э. Буфавкина,Ж,1982,2002,Отдел охраны труда,Начальник отдела,25939,6
1125,А. П. Семчина,Ж,1970,1990,Отдел охраны труда,Инженер-исследователь,33871,6
1126,А. С. Курабатова,Ж,1982,2002,Информационно-управляющие системы для вертолетов,Инженер-программист,41384,6
1127,В. Л. Куравкина,Ж,1961,1981,Информационно-управляющие системы для вертолетов,Начальник ТКБ,45255,8
1128,О. В. Галабуцкая,Ж,1996,2016,Системы автоматизированного управления наземной техникой,Бухгалтер,28758,13
1129,А. М. Бискупская,Ж,1989,2009,Системы автоматизированного управления наземной техникой,Начальник отдела,50666,8
1130,К. С. Ваншина,Ж,1972,1992,Радиоэлектронная аппаратура,Начальник отдела,27460,13
1131,Р. Р. Чекменоева,Ж,1994,2014,Информационно-управляющие системы для самолетов,Бухгалтер,49302,10
1132,В. М. Крчева,Ж,1969,1989,Проектирование и верификация программно-математического обеспечения,Инженер-программист,28764,12
1133,Ю. Б. Кайпоксина,Ж,2001,2021,Радиоэлектронная аппаратура,Инженер-программист,52415,15
1134,К. Н. Муликова,Ж,1970,1990,Системы автоматизированного управления наземной техникой,Инженер,29845,16
1135,Ж. А. Колебянова,Ж,1965,1985,Системы автоматизированного управления наземной техникой,Бухгалтер,54490,4
1136,Р. В. Столыпина,Ж,1999,2019,Информационно-управляющие системы для самолетов,Начальник отдела,51979,16
1137,А. В. Бушуева,Ж,1996,2016,Системы автоматизированного управления наземной техникой,Техник,23618,5
1138,З. О. Жещенкова,Ж,1997,2017,Проектирование и верификация программно-математического обеспечения,Бухгалтер,43121,1
1139,В. М. Розорова,Ж,1994,2014,Аэрометрические системы воздушных сигналов,Инженер-исследователь,56191,6
1140,М. К. Ладышина,Ж,1971,1991,Отдел кадров,Бухгалтер,33857,5
1141,К. А. Галстукова,Ж,1986,2006,Информационно-управляющие системы для самолетов,Бухгалтер,38067,6
1142,П. Б. Рунасова,Ж,1978,1998,Аэрометрические системы воздушных сигналов,Инженер,47984,14
1143,А. О. Семендеева,Ж,1996,2016,Информационно-управляющие системы для самолетов,Инженер-исследователь,31046,15
1144,К. Д. Скалецкая,Ж,1969,1989,Аэрометрические системы воздушных сигналов,Начальник отдела,33652,5
1145,К. В. Долмашова,Ж,1999,2019,Информационно-управляющие системы для вертолетов,Начальник ТКБ,48694,3
1146,А. К. Доланова,Ж,1992,2012,Системы автоматизированного управления наземной техникой,Начальник отдела,40088,10
1147,А. А. Балалыкина,Ж,1988,2008,Радиоэлектронная аппаратура,Инженер-исследователь,37368,1
1148,К. Д. Ламочкина,Ж,1968,1988,Радиоэлектронная аппаратура,Экономист,40810,9
1149,В. М. Наркевская,Ж,1977,1997,Отдел кадров,Инженер,27013,20
1150,Н. А. Фонтова,Ж,1986,2006,Радиоэлектронная аппаратура,Начальник ТКБ,30873,11
1151,И. Б. Клинешнева,Ж,1977,1997,Радиоэлектронная аппаратура,Экономист,29941,11
1152,С. П. Севалкина,Ж,1997,2017,Системы автоматизированного управления наземной техникой,Инженер-исследователь,41906,13
1153,В. Л. Гогунцова,Ж,1997,2017,Отдел охраны труда,Инженер-исследователь,25529,5
1154,К. Э. Комокина,Ж,1969,1989,Отдел кадров,Бухгалтер,43220,3
1155,Е. Б. Рынкова,Ж,1995,2015,Проектирование и верификация программно-математического обеспечения,Бухгалтер,43792,20
1156,Е. Н. Далимова,Ж,1971,1991,Радиоэлектронная аппаратура,Инженер-исследователь,51850,16
1157,А. П. Трубехина,Ж,1987,2007,Аэрометрические системы воздушных сигналов,Инженер-исследователь,33168,17
1158,Р. В. Маслятова,Ж,1986,2006,Отдел охраны труда,Техник,57253,12
1159,К. П. Себитова,Ж,1993,2013,Проектирование и верификация программно-математического обеспечения,Экономист,39266,13
1160,Н. В. Кирбаева,Ж,1964,1984,Аэрометрические системы воздушных сигналов,Инженер-исследователь,27912,9
1161,В. Ф. Щеклонова,Ж,1995,2015,Проектирование и верификация программно-математического обеспечения,Начальник отдела,55158,10
1162,Е. Б. Канидьева,Ж,1997,2017,Информационно-управляющие системы для самолетов,Инженер-программист,47934,9
1163,А. В. Сепкина,Ж,1985,2005,Системы автоматизированного управления наземной техникой,Техник,55680,5
1164,Н. К. Минтюкова,Ж,1992,2012,Системы автоматизированного управления наземной техникой,Инженер,56197,4
1165,В. А. Задураева,Ж,1982,2002,Информационно-управляющие системы для вертолетов,Начальник ТКБ,43846,4
